loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,target
2400.0,0.11710000000000001,79.39,OWN,88000.0,Source Verified,n,25.75,0.0,0.0,19.0,0.0,15606.0,25.0,w,1189.38,1189.38,1527.46,1527.46,1210.62,316.84,0.0,0.0,0.0,79.39,0.0,1.0,Individual,0.0,0.0,183423.0,0.0,10.0,0.0,0.0,34.0,29783.0,51.0,4.0,6.0,9775.0,54.0,25100.0,0.0,0.0,2.0,6.0,9654.0,401.0,96.6,0.0,0.0,108.0,70.0,7.0,7.0,3.0,10.0,10.0,0.0,3.0,7.0,3.0,5.0,11.0,8.0,11.0,7.0,19.0,0.0,0.0,0.0,4.0,100.0,100.0,0.0,0.0,231208.0,45389.0,11900.0,58825.0,N,N,low_risk
4000.0,0.11710000000000001,132.31,RENT,36000.0,Not Verified,n,19.6,0.0,1.0,7.0,1.0,5681.0,15.0,w,1964.91,1964.91,2643.6,2643.6,2035.09,608.51,0.0,0.0,0.0,132.31,0.0,1.0,Individual,0.0,495.0,18927.0,2.0,1.0,0.0,0.0,35.0,13246.0,65.0,4.0,5.0,2647.0,53.0,15300.0,2.0,2.0,2.0,5.0,2704.0,8789.0,31.3,0.0,0.0,188.0,154.0,1.0,1.0,0.0,1.0,5.0,0.0,3.0,4.0,5.0,6.0,6.0,6.0,9.0,4.0,7.0,0.0,0.0,0.0,4.0,100.0,40.0,1.0,0.0,35608.0,18927.0,12800.0,20308.0,N,N,low_risk
14000.0,0.16949999999999998,498.79,MORTGAGE,94500.0,Not Verified,n,12.48,0.0,2.0,10.0,0.0,10685.0,23.0,w,7878.98,7878.98,8951.85,8951.85,6121.02,2830.83,0.0,0.0,0.0,498.79,0.0,1.0,Individual,0.0,0.0,24331.0,3.0,2.0,1.0,2.0,5.0,13646.0,77.0,2.0,3.0,2994.0,79.0,13300.0,1.0,3.0,2.0,5.0,2433.0,852.0,92.2,0.0,0.0,132.0,161.0,5.0,5.0,2.0,5.0,4.0,0.0,5.0,6.0,5.0,7.0,9.0,8.0,12.0,6.0,10.0,0.0,0.0,0.0,3.0,81.8,100.0,0.0,0.0,31010.0,24331.0,10900.0,17710.0,N,N,low_risk
21275.0,0.11019999999999999,462.79,MORTGAGE,60000.0,Not Verified,n,18.06,0.0,1.0,7.0,0.0,3467.0,19.0,w,0.0,0.0,21631.93,21631.93,21275.0,356.93,0.0,0.0,0.0,21644.96,0.0,1.0,Individual,0.0,0.0,207856.0,2.0,3.0,3.0,3.0,4.0,35900.0,95.0,0.0,0.0,3426.0,70.0,18100.0,1.0,2.0,2.0,4.0,29694.0,13574.0,20.2,0.0,0.0,110.0,135.0,71.0,4.0,4.0,74.0,4.0,0.0,1.0,2.0,2.0,4.0,8.0,3.0,7.0,2.0,7.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,227685.0,39367.0,17000.0,37835.0,N,N,low_risk
5000.0,0.17739999999999997,180.12,RENT,30000.0,Source Verified,n,28.44,0.0,0.0,11.0,0.0,4635.0,12.0,w,2549.43,2549.43,3592.54,3592.54,2450.57,1141.97,0.0,0.0,0.0,180.12,0.0,1.0,Individual,0.0,301.0,30074.0,3.0,7.0,3.0,6.0,5.0,25439.0,67.0,1.0,1.0,2569.0,66.0,7500.0,2.0,0.0,1.0,7.0,2734.0,304.0,92.4,0.0,0.0,56.0,62.0,6.0,5.0,0.0,25.0,7.0,0.0,3.0,4.0,3.0,4.0,7.0,4.0,5.0,4.0,11.0,0.0,0.0,0.0,4.0,100.0,100.0,0.0,0.0,45348.0,30074.0,4000.0,37848.0,N,N,low_risk
5000.0,0.0819,157.13,MORTGAGE,165000.0,Source Verified,n,17.05,0.0,1.0,14.0,0.0,18580.0,23.0,w,0.0,0.0,5328.36,5328.36,5000.0,328.36,0.0,0.0,0.0,3759.34,0.0,1.0,Individual,0.0,0.0,226514.0,4.0,5.0,4.0,7.0,3.0,112285.0,87.0,1.0,2.0,5647.0,60.0,97700.0,3.0,2.0,1.0,9.0,16180.0,73596.0,21.4,0.0,0.0,114.0,244.0,1.0,1.0,1.0,1.0,3.0,0.0,4.0,6.0,6.0,6.0,14.0,8.0,8.0,6.0,14.0,0.0,0.0,0.0,5.0,95.7,0.0,0.0,0.0,346891.0,130865.0,90200.0,124191.0,N,N,low_risk
13000.0,0.08810000000000001,412.25,MORTGAGE,80000.0,Not Verified,n,11.21,1.0,0.0,15.0,0.0,11437.0,34.0,w,6602.16,6602.16,7826.39,7826.39,6397.84,1428.55,0.0,0.0,0.0,412.25,0.0,1.0,Individual,0.0,0.0,139984.0,0.0,1.0,0.0,0.0,35.0,12833.0,61.0,0.0,2.0,3502.0,38.0,42500.0,0.0,0.0,0.0,2.0,9332.0,17111.0,29.0,0.0,0.0,173.0,163.0,19.0,19.0,2.0,19.0,20.0,0.0,3.0,5.0,7.0,11.0,14.0,13.0,18.0,5.0,15.0,0.0,0.0,0.0,0.0,93.8,42.9,0.0,0.0,194829.0,24270.0,24100.0,21189.0,N,N,low_risk
4000.0,0.0646,122.53,RENT,64999.0,Not Verified,n,9.23,0.0,0.0,10.0,0.0,4440.0,16.0,w,0.0,0.0,4144.67,4144.67,4000.0,144.67,0.0,0.0,0.0,475.75,0.0,1.0,Individual,0.0,0.0,11263.0,3.0,1.0,0.0,1.0,15.0,6823.0,64.0,4.0,8.0,1424.0,27.0,30400.0,0.0,1.0,1.0,9.0,1251.0,21003.0,11.8,0.0,0.0,157.0,37.0,3.0,3.0,0.0,4.0,11.0,0.0,2.0,4.0,5.0,6.0,5.0,9.0,10.0,4.0,10.0,0.0,0.0,0.0,4.0,93.8,0.0,0.0,0.0,41150.0,11263.0,23800.0,10750.0,N,N,low_risk
35000.0,0.124,1169.2,MORTGAGE,103000.0,Source Verified,n,28.27,0.0,0.0,10.0,0.0,37673.0,17.0,w,17159.76,17159.76,23335.78,23335.78,17840.24,5495.54,0.0,0.0,0.0,1169.2,0.0,1.0,Individual,0.0,0.0,91516.0,0.0,3.0,1.0,2.0,12.0,53843.0,59.0,0.0,0.0,18592.0,59.0,63500.0,0.0,0.0,1.0,2.0,9152.0,24473.0,60.0,0.0,0.0,206.0,376.0,27.0,12.0,0.0,27.0,12.0,2.0,5.0,6.0,5.0,6.0,6.0,7.0,10.0,6.0,10.0,0.0,0.0,0.0,1.0,76.5,60.0,0.0,0.0,152429.0,91516.0,61200.0,88929.0,N,N,low_risk
8000.0,0.20550000000000002,214.41,ANY,86000.0,Not Verified,n,6.22,1.0,1.0,23.0,0.0,5075.0,26.0,w,0.0,0.0,9575.37,9575.37,8000.0,1575.37,0.0,0.0,0.0,6664.81,0.0,1.0,Individual,0.0,1737.0,70378.0,2.0,14.0,0.0,0.0,33.0,65303.0,107.0,2.0,8.0,1643.0,98.0,11100.0,1.0,0.0,1.0,8.0,3060.0,4959.0,47.8,0.0,0.0,148.0,131.0,2.0,2.0,0.0,2.0,5.0,0.0,5.0,6.0,6.0,6.0,16.0,9.0,10.0,6.0,23.0,0.0,0.0,0.0,2.0,91.7,16.7,0.0,0.0,72141.0,70378.0,9500.0,61041.0,N,N,low_risk
31575.0,0.0756,983.05,MORTGAGE,140000.0,Not Verified,n,17.53,0.0,2.0,19.0,0.0,38183.0,33.0,f,0.0,0.0,32353.8100016069,31585.31,31575.0,778.81,0.0,0.0,0.0,30400.97,0.0,1.0,Individual,0.0,0.0,230147.0,2.0,2.0,2.0,4.0,5.0,19026.0,42.0,0.0,0.0,25493.0,37.0,106000.0,2.0,5.0,2.0,5.0,12786.0,59417.0,32.2,0.0,0.0,103.0,449.0,28.0,5.0,4.0,28.0,0.0,0.0,3.0,4.0,12.0,15.0,8.0,14.0,20.0,4.0,19.0,0.0,0.0,0.0,2.0,100.0,9.1,0.0,0.0,360187.0,60301.0,87600.0,45000.0,N,N,low_risk
1000.0,0.0756,31.14,MORTGAGE,65000.0,Not Verified,n,22.77,0.0,0.0,10.0,0.0,4618.0,24.0,w,500.3,500.3,590.61,590.61,499.7,90.91,0.0,0.0,0.0,31.14,0.0,1.0,Individual,0.0,0.0,56010.0,1.0,4.0,1.0,2.0,10.0,24668.0,54.0,1.0,1.0,1405.0,37.0,33600.0,1.0,0.0,1.0,3.0,5601.0,20123.0,6.8,0.0,0.0,124.0,119.0,1.0,1.0,1.0,36.0,10.0,0.0,2.0,3.0,2.0,2.0,16.0,5.0,7.0,3.0,10.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,163138.0,29286.0,21600.0,45472.0,N,N,low_risk
18000.0,0.16949999999999998,641.31,OWN,30000.0,Source Verified,n,50.6,0.0,1.0,6.0,0.0,3420.0,10.0,w,10129.95,10129.95,11526.63,11526.63,7870.05,3656.58,0.0,0.0,0.0,641.31,0.0,1.0,Joint App,0.0,0.0,52203.0,1.0,2.0,0.0,1.0,24.0,48783.0,22.0,2.0,3.0,856.0,43.0,4800.0,3.0,1.0,3.0,4.0,8701.0,544.0,61.1,0.0,0.0,72.0,51.0,2.0,2.0,0.0,2.0,6.0,0.0,1.0,3.0,2.0,2.0,6.0,4.0,4.0,3.0,6.0,0.0,0.0,0.0,2.0,100.0,50.0,0.0,0.0,70188.0,52203.0,1400.0,65388.0,N,N,low_risk
6000.0,0.08810000000000001,190.27,OWN,80000.0,Not Verified,n,14.69,6.0,1.0,13.0,0.0,6409.0,16.0,w,3030.39,3030.39,3612.19,3612.19,2969.61,642.58,0.0,0.0,0.0,190.27,0.0,1.0,Individual,0.0,0.0,60144.0,3.0,7.0,1.0,1.0,2.0,53735.0,104.0,3.0,3.0,2851.0,80.0,23900.0,1.0,0.0,5.0,4.0,4626.0,16650.0,26.7,0.0,0.0,113.0,100.0,5.0,2.0,0.0,5.0,2.0,7.0,5.0,6.0,5.0,7.0,8.0,6.0,8.0,6.0,13.0,0.0,0.0,6.0,4.0,100.0,0.0,0.0,0.0,75563.0,60144.0,22700.0,51663.0,N,N,low_risk
20000.0,0.0819,407.35,OWN,140000.0,Not Verified,n,15.75,0.0,0.0,16.0,0.0,24865.0,37.0,w,14525.18,14525.18,7721.45,7721.45,5474.82,2246.63,0.0,0.0,0.0,407.35,0.0,1.0,Individual,0.0,0.0,202127.0,3.0,4.0,3.0,6.0,4.0,177262.0,85.0,2.0,5.0,9975.0,50.0,75500.0,1.0,0.0,3.0,11.0,12633.0,44335.0,35.9,0.0,0.0,168.0,391.0,2.0,2.0,0.0,2.0,4.0,6.0,7.0,7.0,9.0,16.0,15.0,12.0,22.0,7.0,16.0,0.0,0.0,0.0,5.0,83.8,0.0,0.0,0.0,249973.0,202127.0,69200.0,174473.0,N,N,low_risk
15000.0,0.1612,528.25,RENT,100000.0,Source Verified,n,34.72,0.0,0.0,30.0,0.0,46844.0,33.0,f,7980.84,7980.84,10009.88,10009.88,7019.16,2990.72,0.0,0.0,0.0,528.25,0.0,1.0,Individual,0.0,0.0,68187.0,1.0,1.0,0.0,1.0,15.0,21343.0,67.0,1.0,2.0,3485.0,56.0,89300.0,1.0,0.0,0.0,3.0,2273.0,10529.0,66.8,0.0,0.0,15.0,166.0,5.0,5.0,0.0,5.0,15.0,0.0,9.0,24.0,9.0,10.0,1.0,29.0,32.0,24.0,30.0,0.0,0.0,0.0,1.0,100.0,55.6,0.0,0.0,121300.0,68187.0,31700.0,32000.0,N,N,low_risk
10000.0,0.17739999999999997,252.53,RENT,70000.0,Not Verified,n,42.27,0.0,1.0,6.0,0.0,6566.0,20.0,w,8430.46,8430.46,4273.31,4273.31,1569.54,2703.77,0.0,0.0,0.0,252.53,0.0,1.0,Joint App,0.0,0.0,39829.0,1.0,3.0,1.0,2.0,4.0,33263.0,82.0,1.0,1.0,1987.0,77.0,11500.0,0.0,0.0,2.0,3.0,6638.0,1021.0,74.5,0.0,0.0,107.0,171.0,7.0,4.0,0.0,7.0,2.0,5.0,2.0,3.0,2.0,7.0,9.0,3.0,11.0,3.0,6.0,0.0,0.0,0.0,2.0,55.0,50.0,0.0,0.0,51884.0,39829.0,4000.0,40384.0,N,N,low_risk
40000.0,0.0819,814.7,MORTGAGE,130000.0,Verified,n,22.6,0.0,0.0,13.0,0.0,73698.0,22.0,w,28485.71,28485.71,16275.8,16275.8,11514.29,4761.51,0.0,0.0,0.0,814.7,0.0,1.0,Joint App,0.0,0.0,561260.0,3.0,2.0,0.0,1.0,16.0,24494.0,52.0,3.0,5.0,18648.0,63.0,107900.0,1.0,5.0,2.0,8.0,43174.0,32163.0,68.9,0.0,0.0,139.0,131.0,2.0,2.0,2.0,2.0,6.0,0.0,6.0,8.0,8.0,9.0,9.0,10.0,11.0,8.0,13.0,0.0,0.0,0.0,4.0,100.0,62.5,0.0,0.0,626161.0,98192.0,103400.0,47159.0,N,N,low_risk
31000.0,0.16949999999999998,769.6,MORTGAGE,285000.0,Source Verified,n,12.62,0.0,1.0,19.0,0.0,92172.0,30.0,w,23547.47,23547.47,15319.02,15319.02,7452.53,7866.49,0.0,0.0,0.0,769.6,0.0,1.0,Individual,0.0,0.0,279924.0,2.0,3.0,1.0,1.0,6.0,23097.0,81.0,1.0,2.0,13709.0,81.0,113400.0,1.0,0.0,3.0,3.0,14733.0,10654.0,89.5,0.0,0.0,123.0,137.0,3.0,3.0,2.0,3.0,3.0,0.0,11.0,13.0,11.0,16.0,7.0,15.0,21.0,13.0,19.0,0.0,0.0,0.0,2.0,100.0,81.8,0.0,0.0,327087.0,115269.0,101600.0,28687.0,N,N,low_risk
5500.0,0.124,123.46,OWN,75000.0,Not Verified,n,22.78,0.0,2.0,11.0,0.0,57239.0,19.0,w,4037.39,4037.39,2459.73,2459.73,1462.61,997.12,0.0,0.0,0.0,123.46,0.0,1.0,Individual,0.0,0.0,179598.0,0.0,2.0,1.0,2.0,11.0,12106.0,60.0,0.0,2.0,13479.0,52.0,114500.0,1.0,0.0,4.0,4.0,16327.0,51672.0,29.2,0.0,0.0,183.0,244.0,20.0,11.0,3.0,20.0,5.0,0.0,4.0,6.0,5.0,6.0,6.0,8.0,10.0,6.0,11.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,329450.0,69345.0,73000.0,20173.0,N,N,low_risk
10625.0,0.2305,411.57,OWN,50000.0,Verified,n,37.42,0.0,1.0,12.0,0.0,2914.0,23.0,w,5615.89,5615.89,8204.19,8204.19,5009.11,3195.08,0.0,0.0,0.0,411.57,0.0,1.0,Individual,0.0,0.0,65516.0,5.0,3.0,3.0,4.0,1.0,62602.0,97.0,5.0,7.0,830.0,68.0,17300.0,0.0,8.0,1.0,11.0,5460.0,11625.0,12.6,0.0,0.0,139.0,115.0,2.0,1.0,0.0,2.0,2.0,2.0,4.0,8.0,4.0,4.0,13.0,9.0,10.0,8.0,12.0,0.0,0.0,0.0,8.0,90.9,0.0,0.0,0.0,94919.0,65516.0,13300.0,77619.0,N,N,low_risk
15300.0,0.11710000000000001,506.07,RENT,74000.0,Source Verified,n,12.34,0.0,1.0,5.0,0.0,13557.0,7.0,f,7891.84,7891.84,9605.38,9605.38,7408.16,2197.22,0.0,0.0,0.0,506.07,0.0,1.0,Individual,0.0,0.0,35892.0,1.0,2.0,2.0,2.0,8.0,22335.0,87.0,2.0,2.0,7624.0,64.0,30800.0,1.0,2.0,5.0,4.0,7178.0,17243.0,44.0,0.0,0.0,74.0,119.0,4.0,4.0,0.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,4.0,85.7,0.0,0.0,0.0,56417.0,35892.0,30800.0,25617.0,N,N,low_risk
4800.0,0.20550000000000002,179.74,MORTGAGE,65000.0,Source Verified,n,12.26,0.0,1.0,7.0,0.0,2072.0,10.0,w,0.0,0.0,5108.04,5108.04,4800.0,308.04,0.0,0.0,0.0,4754.04,0.0,1.0,Individual,0.0,0.0,179323.0,1.0,2.0,1.0,2.0,3.0,27858.0,92.0,1.0,1.0,769.0,80.0,7000.0,2.0,0.0,3.0,7.0,25618.0,2723.0,22.2,0.0,0.0,13.0,49.0,8.0,3.0,4.0,38.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0,187915.0,29930.0,3500.0,30425.0,N,N,low_risk
7000.0,0.0819,219.97,MORTGAGE,150000.0,Not Verified,n,4.94,0.0,0.0,7.0,0.0,5976.0,14.0,w,0.0,0.0,7265.28,7265.28,7000.0,265.28,0.0,0.0,0.0,132.01,0.0,1.0,Individual,0.0,0.0,330535.0,3.0,2.0,1.0,1.0,2.0,13661.0,75.0,2.0,2.0,5976.0,51.0,20500.0,0.0,0.0,2.0,4.0,47219.0,13024.0,31.5,0.0,0.0,116.0,294.0,2.0,2.0,2.0,10.0,4.0,2.0,1.0,1.0,3.0,6.0,3.0,4.0,9.0,1.0,7.0,0.0,0.0,0.0,4.0,85.7,0.0,0.0,0.0,350644.0,19637.0,19000.0,18344.0,N,N,low_risk
16000.0,0.0646,490.1,RENT,55000.0,Source Verified,n,22.73,0.0,0.0,9.0,0.0,15245.0,13.0,f,7118.9,7118.9,10140.58,10140.58,8881.1,1259.48,0.0,0.0,0.0,490.1,0.0,1.0,Individual,0.0,0.0,27132.0,1.0,1.0,1.0,1.0,12.0,11887.0,74.0,1.0,1.0,9548.0,34.0,64200.0,1.0,0.0,1.0,2.0,3015.0,34084.0,24.6,0.0,0.0,53.0,174.0,5.0,5.0,0.0,52.0,12.0,1.0,3.0,5.0,4.0,5.0,3.0,8.0,10.0,5.0,9.0,0.0,0.0,0.0,2.0,92.3,0.0,0.0,0.0,80200.0,27132.0,45200.0,16000.0,N,N,low_risk
