,index,loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
37768,37768,26400.0,0.1033,565.22,MORTGAGE,70000.0,Not Verified,low_risk,n,24.48,0.0,0.0,10.0,0.0,20070.0,16.0,w,22518.22,22518.22,6202.27,6202.27,3881.78,2320.49,0.0,0.0,0.0,565.22,0.0,1.0,Individual,0.0,0.0,211288.0,1.0,1.0,0.0,1.0,16.0,18915.0,63.0,0.0,1.0,6494.0,46.0,54900.0,1.0,3.0,1.0,3.0,23476.0,30615.0,36.4,0.0,0.0,207.0,172.0,19.0,2.0,2.0,31.0,3.0,0.0,5.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,10.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,258000.0,38985.0,48100.0,30000.0,N,N
35473,35473,5000.0,0.1308,168.67,MORTGAGE,45370.0,Not Verified,low_risk,n,28.7,0.0,1.0,10.0,0.0,13789.0,21.0,w,3677.2,3677.2,1846.29,1846.29,1322.8,523.49,0.0,0.0,0.0,168.67,0.0,1.0,Individual,0.0,0.0,140511.0,1.0,2.0,1.0,2.0,8.0,30115.0,87.0,0.0,0.0,7382.0,78.0,21400.0,1.0,1.0,5.0,3.0,15612.0,1240.0,91.3,0.0,0.0,92.0,101.0,34.0,6.0,1.0,43.0,0.0,0.0,4.0,5.0,5.0,6.0,9.0,7.0,11.0,5.0,10.0,0.0,0.0,0.0,2.0,95.2,100.0,0.0,0.0,153155.0,43904.0,14200.0,34755.0,N,N
16700,16700,24000.0,0.0756,747.22,MORTGAGE,320000.0,Verified,low_risk,n,17.99,0.0,1.0,16.0,0.0,23597.0,25.0,w,17867.96,17867.96,7462.12,7462.12,6132.04,1330.08,0.0,0.0,0.0,747.22,0.0,1.0,Individual,0.0,0.0,894302.0,0.0,8.0,0.0,6.0,13.0,352415.0,76.0,1.0,2.0,17518.0,59.0,57700.0,2.0,8.0,5.0,9.0,55894.0,15190.0,60.7,0.0,0.0,197.0,158.0,8.0,8.0,7.0,24.0,1.0,0.0,2.0,3.0,3.0,3.0,10.0,6.0,8.0,3.0,16.0,0.0,0.0,0.0,2.0,100.0,33.3,0.0,0.0,1000318.0,376012.0,38700.0,395499.0,N,N
51646,51646,3600.0,0.08810000000000001,114.17,MORTGAGE,138000.0,Not Verified,low_risk,n,19.98,0.0,2.0,16.0,0.0,35004.0,43.0,f,2503.55,2503.55,1368.28,1368.28,1096.45,271.83,0.0,0.0,0.0,114.17,0.0,1.0,Individual,0.0,0.0,571521.0,4.0,5.0,4.0,5.0,3.0,82086.0,35.0,3.0,3.0,22276.0,73.0,44700.0,2.0,0.0,5.0,9.0,35720.0,4896.0,87.7,0.0,0.0,216.0,382.0,4.0,1.0,4.0,4.0,2.0,2.0,6.0,6.0,6.0,9.0,24.0,8.0,14.0,6.0,16.0,0.0,0.0,0.0,8.0,93.0,83.3,0.0,0.0,669620.0,117090.0,39900.0,92920.0,N,N
48811,48811,12000.0,0.1862,308.79,MORTGAGE,45000.0,Source Verified,low_risk,n,33.17,0.0,0.0,13.0,0.0,16923.0,30.0,w,10541.68,10541.68,3371.86,3371.86,1458.32,1913.54,0.0,0.0,0.0,0.0,0.0,1.0,Joint App,0.0,0.0,134887.0,1.0,3.0,1.0,1.0,7.0,117964.0,87.0,1.0,2.0,4660.0,87.0,19500.0,2.0,0.0,1.0,3.0,10376.0,8.0,99.9,0.0,0.0,148.0,141.0,4.0,4.0,1.0,4.0,7.0,0.0,6.0,9.0,6.0,6.0,18.0,10.0,11.0,9.0,13.0,0.0,0.0,0.0,2.0,100.0,83.3,0.0,0.0,122843.0,134887.0,11000.0,103343.0,N,N
16394,16394,12000.0,0.1308,273.53,RENT,85000.0,Not Verified,low_risk,n,26.36,0.0,1.0,12.0,0.0,14205.0,24.0,w,10500.62,10500.62,2726.58,2726.58,1499.38,1227.2,0.0,0.0,0.0,273.53,0.0,1.0,Individual,0.0,0.0,240240.0,2.0,5.0,1.0,5.0,6.0,59997.0,79.0,1.0,3.0,5855.0,75.0,24100.0,4.0,2.0,1.0,11.0,20020.0,1752.0,88.4,0.0,0.0,116.0,114.0,4.0,4.0,3.0,4.0,6.0,0.0,4.0,5.0,4.0,5.0,14.0,5.0,7.0,5.0,12.0,0.0,0.0,0.0,2.0,100.0,75.0,0.0,0.0,269520.0,74202.0,15100.0,75520.0,N,N
33289,33289,28000.0,0.0756,871.75,RENT,67000.0,Not Verified,low_risk,n,37.7,0.0,0.0,10.0,0.0,5108.0,13.0,w,20105.6,20105.6,9577.49,9577.49,7894.4,1683.09,0.0,0.0,0.0,871.75,0.0,1.0,Individual,0.0,0.0,56398.0,1.0,4.0,2.0,3.0,4.0,51290.0,65.0,0.0,0.0,1952.0,44.0,48400.0,2.0,1.0,1.0,3.0,5640.0,30277.0,12.2,0.0,0.0,89.0,110.0,25.0,4.0,0.0,25.0,1.0,0.0,3.0,4.0,3.0,3.0,6.0,6.0,7.0,4.0,10.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,127718.0,56398.0,34500.0,79318.0,N,N
35508,35508,10425.0,0.28800000000000003,435.74,OWN,250000.0,Source Verified,low_risk,n,19.53,0.0,2.0,23.0,0.0,192645.0,35.0,w,0.0,0.0,12559.39,12559.39,10425.0,2134.39,0.0,0.0,0.0,9550.91,0.0,1.0,Individual,0.0,0.0,535534.0,1.0,8.0,2.0,2.0,5.0,78756.0,87.0,1.0,1.0,60797.0,92.0,193400.0,4.0,2.0,4.0,3.0,23284.0,638.0,97.5,0.0,0.0,139.0,253.0,7.0,5.0,1.0,7.0,4.0,0.0,9.0,13.0,9.0,11.0,17.0,13.0,16.0,13.0,23.0,0.0,0.0,0.0,3.0,97.1,100.0,0.0,0.0,607596.0,288192.0,117000.0,90405.0,N,N
5635,5635,9000.0,0.0819,183.31,MORTGAGE,60000.0,Source Verified,low_risk,n,12.58,0.0,0.0,6.0,0.0,2129.0,13.0,w,7743.03,7743.03,1829.0,1829.0,1256.97,572.03,0.0,0.0,0.0,183.31,0.0,1.0,Individual,0.0,0.0,18294.0,0.0,2.0,1.0,1.0,7.0,16165.0,70.0,0.0,0.0,1573.0,50.0,13700.0,1.0,4.0,1.0,1.0,3049.0,7571.0,21.9,0.0,0.0,76.0,80.0,44.0,7.0,0.0,66.0,11.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,9.0,2.0,6.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,36968.0,18294.0,9700.0,23268.0,N,N
16298,16298,20000.0,0.1033,428.2,MORTGAGE,109000.0,Not Verified,low_risk,n,26.69,0.0,0.0,18.0,0.0,68.0,45.0,w,17338.17,17338.17,4270.52,4270.52,2661.83,1608.69,0.0,0.0,0.0,428.2,0.0,1.0,Individual,0.0,0.0,459565.0,0.0,3.0,1.0,2.0,11.0,408499.0,77.0,3.0,5.0,68.0,38.0,63700.0,3.0,0.0,4.0,7.0,25531.0,47332.0,0.1,0.0,0.0,168.0,225.0,9.0,9.0,2.0,9.0,2.0,0.0,1.0,1.0,9.0,14.0,20.0,14.0,23.0,1.0,18.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,496305.0,408567.0,47400.0,358075.0,N,N
60751,60751,12750.0,0.1612,449.01,RENT,96000.0,Verified,low_risk,n,24.93,0.0,3.0,28.0,0.0,35308.0,46.0,w,9165.73,9165.73,5359.57,5359.57,3584.27,1775.3,0.0,0.0,0.0,449.01,0.0,1.0,Individual,0.0,0.0,63874.0,3.0,2.0,2.0,4.0,10.0,28566.0,72.0,5.0,11.0,12660.0,39.0,124900.0,4.0,8.0,7.0,15.0,2281.0,74326.0,28.7,0.0,0.0,68.0,88.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,17.0,19.0,19.0,20.0,26.0,26.0,18.0,28.0,0.0,0.0,0.0,7.0,100.0,0.0,0.0,0.0,164424.0,63874.0,104200.0,39524.0,N,N
23360,23360,2000.0,0.0756,62.27,RENT,17300.0,Not Verified,low_risk,n,6.94,0.0,2.0,12.0,0.0,986.0,19.0,w,1224.16,1224.16,877.13,877.13,775.84,101.29,0.0,0.0,0.0,62.27,0.0,1.0,Individual,0.0,0.0,2513.0,1.0,1.0,2.0,2.0,4.0,1527.0,95.0,0.0,1.0,633.0,20.0,11300.0,1.0,0.0,2.0,3.0,209.0,5014.0,16.4,0.0,0.0,10.0,52.0,16.0,4.0,0.0,30.0,3.0,0.0,2.0,2.0,5.0,7.0,2.0,11.0,17.0,2.0,12.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,12900.0,2513.0,6000.0,1600.0,N,N
53839,53839,23150.0,0.0756,720.75,MORTGAGE,130500.0,Not Verified,low_risk,n,22.61,0.0,0.0,15.0,0.0,28628.0,25.0,w,0.0,0.0,24653.36,24653.36,23150.0,1503.36,0.0,0.0,0.0,16744.56,0.0,1.0,Individual,0.0,0.0,307787.0,2.0,4.0,0.0,2.0,16.0,20761.0,33.0,2.0,2.0,20874.0,25.0,94200.0,1.0,1.0,2.0,6.0,20519.0,59878.0,4.7,0.0,0.0,125.0,122.0,2.0,2.0,2.0,2.0,4.0,0.0,6.0,8.0,8.0,9.0,9.0,10.0,14.0,8.0,15.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,414781.0,49389.0,82700.0,62921.0,N,N
22016,22016,4625.0,0.17739999999999997,166.61,OWN,32000.0,Source Verified,low_risk,n,28.02,0.0,1.0,8.0,0.0,5275.0,9.0,w,3460.87,3460.87,1823.59,1823.59,1164.13,659.46,0.0,0.0,0.0,166.61,0.0,1.0,Individual,0.0,0.0,32284.0,1.0,1.0,1.0,1.0,11.0,27009.0,87.0,2.0,3.0,1464.0,78.0,10700.0,2.0,0.0,3.0,4.0,4036.0,1584.0,67.7,0.0,0.0,37.0,35.0,4.0,4.0,0.0,4.0,4.0,0.0,3.0,7.0,3.0,3.0,2.0,7.0,7.0,7.0,8.0,0.0,0.0,0.0,3.0,100.0,66.7,0.0,0.0,41635.0,32284.0,4900.0,30935.0,N,N
75140,75140,20400.0,0.0756,635.13,OWN,45000.0,Not Verified,low_risk,n,19.57,0.0,0.0,12.0,0.0,15460.0,30.0,w,14105.54,14105.54,7604.42,7604.42,6294.46,1309.96,0.0,0.0,0.0,635.13,0.0,1.0,Individual,0.0,0.0,247915.0,1.0,1.0,1.0,2.0,10.0,13492.0,90.0,3.0,4.0,5227.0,23.0,110400.0,2.0,0.0,1.0,6.0,20660.0,76940.0,16.7,0.0,0.0,161.0,224.0,4.0,4.0,2.0,4.0,10.0,0.0,6.0,6.0,7.0,11.0,11.0,10.0,17.0,6.0,12.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,355300.0,28952.0,92400.0,15000.0,N,N
66157,66157,15000.0,0.20550000000000002,402.02,OWN,39500.0,Not Verified,low_risk,n,15.41,0.0,0.0,9.0,1.0,3978.0,20.0,w,13121.51,13121.51,4807.12,4807.12,1878.48,2928.64,0.0,0.0,0.0,402.02,0.0,1.0,Individual,0.0,0.0,107551.0,1.0,6.0,1.0,2.0,7.0,103573.0,106.0,1.0,1.0,3763.0,90.0,10400.0,0.0,3.0,0.0,3.0,11950.0,5822.0,40.6,0.0,0.0,160.0,173.0,1.0,1.0,0.0,1.0,24.0,0.0,2.0,2.0,2.0,2.0,16.0,3.0,4.0,2.0,9.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,0.0,86004.0,107551.0,9800.0,75604.0,N,N
59944,59944,17000.0,0.08810000000000001,351.33,MORTGAGE,58000.0,Not Verified,low_risk,n,35.3,0.0,0.0,14.0,0.0,17494.0,33.0,w,14169.25,14169.25,4195.16,4195.16,2830.75,1364.41,0.0,0.0,0.0,351.33,0.0,1.0,Individual,0.0,0.0,209509.0,1.0,4.0,2.0,2.0,6.0,111205.0,80.0,0.0,0.0,6060.0,64.0,38500.0,0.0,0.0,0.0,3.0,16116.0,21006.0,45.4,0.0,0.0,193.0,257.0,26.0,6.0,2.0,26.0,20.0,0.0,8.0,8.0,9.0,12.0,14.0,9.0,17.0,8.0,14.0,0.0,0.0,0.0,2.0,100.0,37.5,0.0,0.0,225968.0,128699.0,38500.0,104968.0,N,N
57242,57242,16000.0,0.1524,382.66,MORTGAGE,80000.0,Verified,low_risk,n,31.71,0.0,1.0,7.0,0.0,8628.0,26.0,w,0.0,0.0,16895.39,16895.39,16000.0,895.39,0.0,0.0,0.0,15760.96,0.0,1.0,Individual,0.0,0.0,171030.0,1.0,4.0,2.0,2.0,2.0,61017.0,57.0,0.0,0.0,4502.0,62.0,9600.0,3.0,1.0,5.0,2.0,24433.0,98.0,97.9,0.0,0.0,141.0,194.0,55.0,2.0,3.0,75.0,2.0,0.0,1.0,2.0,1.0,8.0,9.0,2.0,14.0,2.0,7.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,233491.0,69645.0,4600.0,102691.0,N,N
17413,17413,21000.0,0.14300000000000002,491.91,MORTGAGE,86300.0,Source Verified,low_risk,n,4.96,1.0,1.0,14.0,0.0,4592.0,32.0,w,0.0,0.0,21505.39,21505.39,21000.0,505.39,0.0,0.0,0.0,21030.16,0.0,1.0,Joint App,0.0,0.0,425348.0,4.0,1.0,0.0,1.0,13.0,5213.0,84.0,3.0,3.0,1432.0,24.0,34700.0,1.0,1.0,4.0,5.0,30382.0,11886.0,22.8,0.0,0.0,149.0,94.0,3.0,3.0,5.0,3.0,0.0,0.0,3.0,4.0,7.0,9.0,10.0,10.0,15.0,4.0,14.0,0.0,0.0,0.0,4.0,87.5,0.0,0.0,0.0,461032.0,10130.0,15400.0,6212.0,N,N
77265,77265,8000.0,0.124,267.25,RENT,36400.0,Verified,low_risk,n,26.01,0.0,1.0,10.0,0.0,2170.0,14.0,w,5700.96,5700.96,3195.98,3195.98,2299.04,896.94,0.0,0.0,0.0,267.25,0.0,1.0,Individual,0.0,150.0,31980.0,1.0,3.0,0.0,2.0,13.0,29810.0,81.0,1.0,4.0,903.0,71.0,8200.0,3.0,0.0,1.0,6.0,3198.0,671.0,72.0,0.0,0.0,115.0,70.0,2.0,2.0,0.0,37.0,2.0,0.0,2.0,4.0,2.0,3.0,5.0,7.0,9.0,4.0,10.0,0.0,0.0,0.0,1.0,100.0,50.0,0.0,0.0,45028.0,31980.0,2400.0,36828.0,N,N
14580,14580,9000.0,0.1033,291.81,MORTGAGE,72000.0,Verified,low_risk,n,38.93,0.0,0.0,16.0,0.0,34265.0,32.0,w,6771.69,6771.69,2907.77,2907.77,2228.31,679.46,0.0,0.0,0.0,291.81,0.0,1.0,Individual,0.0,0.0,148984.0,0.0,4.0,2.0,2.0,12.0,33306.0,74.0,0.0,0.0,10070.0,67.0,55500.0,1.0,1.0,1.0,2.0,9312.0,17134.0,62.0,0.0,0.0,132.0,482.0,28.0,12.0,3.0,28.0,12.0,0.0,6.0,11.0,6.0,9.0,13.0,11.0,16.0,11.0,16.0,0.0,0.0,0.0,2.0,93.8,66.7,0.0,0.0,195355.0,67571.0,45100.0,45155.0,N,N
21818,21818,8400.0,0.0646,257.3,RENT,57100.0,Not Verified,low_risk,n,43.4,0.0,0.0,16.0,1.0,6886.0,23.0,w,5984.22,5984.22,2824.27,2824.27,2415.78,408.49,0.0,0.0,0.0,257.3,0.0,1.0,Joint App,0.0,0.0,51552.0,0.0,4.0,0.0,1.0,20.0,44666.0,51.0,0.0,0.0,3229.0,39.0,43900.0,0.0,1.0,2.0,1.0,3222.0,25414.0,21.3,0.0,0.0,78.0,88.0,28.0,20.0,0.0,44.0,2.0,0.0,6.0,6.0,6.0,6.0,9.0,12.0,14.0,6.0,16.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,131062.0,51552.0,32300.0,87162.0,N,N
63571,63571,10000.0,0.0819,314.25,RENT,42000.0,Not Verified,low_risk,n,14.8,0.0,1.0,7.0,0.0,10022.0,20.0,w,7633.46,7633.46,3137.95,3137.95,2366.54,771.41,0.0,0.0,0.0,314.25,0.0,1.0,Individual,0.0,0.0,17502.0,1.0,1.0,0.0,1.0,20.0,7480.0,69.0,1.0,1.0,6623.0,48.0,25400.0,1.0,2.0,2.0,2.0,2500.0,4278.0,70.1,0.0,0.0,161.0,204.0,6.0,6.0,0.0,6.0,6.0,1.0,4.0,4.0,4.0,6.0,8.0,6.0,12.0,4.0,7.0,0.0,0.0,0.0,1.0,90.0,50.0,0.0,0.0,36219.0,17502.0,14300.0,10819.0,N,N
30310,30310,5000.0,0.17739999999999997,180.12,RENT,35000.0,Not Verified,low_risk,n,6.76,0.0,0.0,14.0,0.0,4141.0,16.0,w,4286.66,4286.66,1436.03,1436.03,713.34,722.69,0.0,0.0,0.0,0.0,0.0,1.0,Individual,0.0,0.0,46714.0,0.0,12.0,0.0,2.0,17.0,42573.0,107.0,1.0,1.0,2083.0,105.0,4600.0,0.0,0.0,0.0,3.0,3337.0,459.0,90.0,0.0,0.0,78.0,44.0,10.0,10.0,0.0,10.0,13.0,0.0,2.0,2.0,2.0,2.0,13.0,2.0,3.0,2.0,14.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,44422.0,46714.0,4600.0,39822.0,N,N
